id,label
1816,CUK
1817,DGA
1818,PLJ
1819,SPR
1820,SQS
1821,TZA
1822,YAA
1823,YLE
1824,TVS
1825,OHE
1826,BSD
1827,LNJ
1828,PZI
1829,FUO
1830,AEB
1831,YZY
1832,LDS
1833,YKU
1834,YAG
1835,YKG
1836,YAY
1837,YCB
1838,YCL
1839,YCO
1840,YCY
1841,YFH
1842,YFO
1843,YFS
1844,YGP
1845,YGR
1846,YGT
1847,YGV
1848,YGX
1849,YNS
1850,YHK
1851,YHU
1852,ZEL
1853,YJT
1854,YKL
1855,YKQ
1856,YPJ
1857,YLC
1858,YSG
1859,XGR
1860,YMO
1861,YUD
1862,YNA
1863,YPH
1864,YPN
1865,YPX
1866,YPY
1867,YQD
1868,YQK
1869,YQX
1870,YRA
1871,YRL
1872,YRT
1873,YSK
1874,YTE
1875,YTH
1876,YTQ
1877,YUX
1878,YVB
1879,YVQ
1880,YWJ
1881,YWP
1882,YXL
1883,YXP
1884,YYH
1885,YYQ
1886,YYR
1887,YYU
1888,ZUM
1889,DJG
1890,MZW
1891,TEE
1892,HRM
1893,TID
1894,CFK
1895,CBH
1896,MUW
1897,EBH
1898,AZR
1899,GHA
1900,INZ
1901,TGR
1902,ELU
1903,OGX
1904,IAM
1905,BOY
1906,TML
1907,KMS
1908,NYI
1909,TKD
1910,QUO
1911,ABB
1912,BNI
1913,CBQ
1914,ENU
1915,IBA
1916,ILR
1917,QOW
1918,JOS
1919,KAD
1920,KAN
1921,PHC
1922,SKO
1923,YOL
1924,MHG
1925,XFW
1926,AGB
1927,URE
1928,LPP
1929,GLO
1930,EOI
1931,NRL
1932,PPW
1933,SOY
1934,NDY
1935,WRY
1936,ISC
1937,ACI
1938,CEG
1939,VLY
1940,EBJ
1941,KRP
1942,RNN
1943,SGD
1944,FAE
1945,ANX
1946,HFT
1947,HAA
1948,LKN
1949,MJF
1950,LKL
1951,NVK
1952,OSY
1953,MQN
1954,RVK
1955,RET
1956,SVJ
1957,SKN
1958,SKE
1959,SOJ
1960,VAW
1961,VDS
1962,THN
1963,AJR
1964,ORB
1965,TYF
1966,PJA
1967,HMV
1968,BSG
1969,RRG
1970,MVR
1971,NGE
1972,GOU
1973,CIP
1974,KAA
1975,MNS
1976,MFU
1977,SLI
1978,HAH
1979,ZSE
1980,SMS
1981,TMM
1982,MOQ
1983,DIE
1984,ANM
1985,MJN
1986,NOS
1987,WMN
1988,SVB
1989,FTU
1990,TLE
1991,SSY
1992,CAB
1993,CBT
1994,VPE
1995,NOV
1996,SVP
1997,MEG
1998,SPP
1999,MSZ
2000,VHC
2001,SZA
2002,SDD
2003,LUO
2004,POG
2005,VPY
2006,VXC
2007,UEL
2008,PRI
2009,LUD
2010,MDK
2011,BNB
2012,FKI
2013,KND
2014,KGA
2015,TSH
2016,MJM
2017,GMZ
2018,VDE
2019,OXB
2020,MLW
2021,VIL
2022,EUN
2023,TTU
2024,GNU
2025,ZIG
2026,NDB
2027,OUZ
2028,MMO
2029,SFL
2030,SNE
2031,AMH
2032,AXU
2033,BJR
2034,DIR
2035,GMB
2036,GDQ
2037,JIJ
2038,JIM
2039,MQX
2040,ASO
2041,BSA
2042,MGQ
2043,GLK
2044,ATZ
2045,HMB
2046,ASW
2047,ASM
2048,HKB
2049,EDL
2050,KIS
2051,LOK
2052,MYD
2053,WIL
2054,WJR
2055,GHT
2056,AKF
2057,LTD
2058,KME
2059,ELF
2060,EGN
2061,UYL
2062,ARK
2063,MBI
2064,MYW
2065,MWZ
2066,RUA
2067,KSE
2068,PAF
2069,PUM
2070,JGD
2071,JIC
2072,JUH
2073,BLV
2074,CGI
2075,CKB
2076,CNM
2077,ELD
2078,EWB
2079,GCN
2080,GDV
2081,GGW
2082,GLH
2083,HON
2084,HOT
2085,HTS
2086,HVR
2087,IRK
2088,JBR
2089,LAM
2090,LCK
2091,LUK
2092,LYH
2093,MBL
2094,MMU
2095,MSS
2096,MWA
2097,OGS
2098,OLF
2099,OWB
2100,PDT
2101,PGV
2102,PSM
2103,SDY
2104,TBN
2105,TEB
2106,TVF
2107,UIN
2108,WRL
2109,YNG
2110,DZN
2111,ECN
2112,BWK
2113,EBU
2114,AVN
2115,LEH
2116,XCR
2117,DIJ
2118,KSJ
2119,DEB
2120,CUF
2121,RMI
2122,KLV
2123,PED
2124,ETH
2125,CVU
